,PAPER,TIME,trade_index,fiscal_index,monetary_index
351,vietnamnet.vn,03/06/2015,3,3,3
352,vietnamnet.vn,03/06/2016,2,0,0
353,vietnamnet.vn,03/06/2017,0,12,0
354,vietnamnet.vn,03/06/2018,24,0,8
355,vietnamnet.vn,03/06/2019,54,0,2
356,vietnamnet.vn,03/06/2020,107,41,12
357,vietnamnet.vn,03/06/2021,42,2,56
358,vietnamnet.vn,03/06/2022,141,61,247
359,vietnamnet.vn,03/06/2023,12,0,8
360,vietnamnet.vn,03/07/2011,0,0,0
361,vietnamnet.vn,03/07/2012,2,0,0
362,vietnamnet.vn,03/07/2013,30,32,84
363,vietnamnet.vn,03/07/2014,0,0,0
364,vietnamnet.vn,03/07/2015,0,0,0
365,vietnamnet.vn,03/07/2016,48,0,0
366,vietnamnet.vn,03/07/2017,20,10,60
367,vietnamnet.vn,03/07/2018,39,28,192
368,vietnamnet.vn,03/07/2019,16,6,0
369,vietnamnet.vn,03/07/2020,26,0,12
370,vietnamnet.vn,03/07/2021,9,0,44
371,vietnamnet.vn,03/07/2022,20,7,0
372,vietnamnet.vn,03/08/2011,12,0,0
373,vietnamnet.vn,03/08/2012,11,8,33
374,vietnamnet.vn,03/08/2014,16,3,0
375,vietnamnet.vn,03/08/2015,0,0,0
376,vietnamnet.vn,03/08/2016,10,8,8
377,vietnamnet.vn,03/08/2017,21,2,2
378,vietnamnet.vn,03/08/2018,62,20,153
379,vietnamnet.vn,03/08/2019,23,6,16
380,vietnamnet.vn,03/08/2020,64,6,54
381,vietnamnet.vn,03/08/2021,19,0,1
382,vietnamnet.vn,03/08/2022,56,24,2
383,vietnamnet.vn,03/09/2012,0,0,0
384,vietnamnet.vn,03/09/2013,20,0,0
385,vietnamnet.vn,03/09/2014,2,0,0
386,vietnamnet.vn,03/09/2015,0,0,0
387,vietnamnet.vn,03/09/2017,2,0,0
388,vietnamnet.vn,03/09/2018,91,24,96
389,vietnamnet.vn,03/09/2019,10,0,0
390,vietnamnet.vn,03/09/2020,20,0,0
391,vietnamnet.vn,03/09/2021,146,5,6
392,vietnamnet.vn,03/09/2022,40,9,9
393,vietnamnet.vn,03/10/2011,28,36,44
394,vietnamnet.vn,03/10/2012,24,8,8
395,vietnamnet.vn,03/10/2013,6,22,42
396,vietnamnet.vn,03/10/2014,2,0,0
397,vietnamnet.vn,03/10/2015,0,0,0
398,vietnamnet.vn,03/10/2016,0,0,0
399,vietnamnet.vn,03/10/2017,20,2,80
400,vietnamnet.vn,03/10/2018,29,18,48
401,vietnamnet.vn,03/10/2019,64,18,105
402,vietnamnet.vn,03/10/2020,6,0,0
403,vietnamnet.vn,03/10/2021,19,2,9
404,vietnamnet.vn,03/10/2022,24,10,72
405,vietnamnet.vn,03/11/2012,0,0,0
406,vietnamnet.vn,03/11/2013,0,0,0
407,vietnamnet.vn,03/11/2014,7,0,0
408,vietnamnet.vn,03/11/2015,3,0,0
409,vietnamnet.vn,03/11/2016,2,2,2
410,vietnamnet.vn,03/11/2017,20,1,0
411,vietnamnet.vn,03/11/2018,20,4,0
